a ?あ
enueu えんづける
enoie えんとして
eno-i えんどおい
enno- えんにょう
eni えんび
eniu えんぴつ
eneio- えんぺいごう
enou えん曲
enou えん曲
enon えん恨
enai えん罪
enen えん戦
enau えん麦
eniuu えん尾服
e' えッ
enoe え目
o お
o-i おーい
oaio おあいそ
oaiu おあしす
oi おい
oi おい
oiaeu おいあげる
oioi おいおい
oiaeu おいかえす
oiaeeu おいかえせる
oiaeu おいかける
oiou おいこす
oioeu おいこせる
oiou おいこむ
oioeu おいこめる
oiaaaeu おいさらばえる
oiii おいしい
oiieu おいしげる
oiuau おいすがる
oioau おいそだつ
oioeo おいそれと
oiau おいたつ
oiaeu おいたてる
oiau おいだす
oiaeu おいだせる
oian おいちゃん
oiiau おいちらす
oiuau おいつかう
oiueu おいつける
oiueu おいつめる
oieeoi おいてけぼり
oie おいで
oio おいど
oinuu おいぬく
oinueu おいぬける
oiaau おいはらう
oiaaeu おいはらえる
oioeu おいぼれる
oiauu おいまくる
oiaau おいまわす
oiaaeu おいまわせる
oiooeu おいもとめる
oiau おいやる
oiaeu おいやれる
oiu おいる
ou おう
o-o- おうおう
o-iu おうじる
o-uu おうずる
o-eiae おうせいあめ
o-i おうみ
ouu おうむ
o-enu おうレンズ
o-a おう歌
o-au おう弱
o-ei おう盛
o-o おう吐
o-no- おう悩
oeaaa おえら方
oeu おえる
o- おぉ
o- おお
o-i おおい
o-ini おおいに
oou おおう
o-ui おおうみ
o-eu おおえす
ooeu おおえる
o-ai おおがい
o-aai おおがかり
o-ii おおきい
o-ini おおきに
o-ua おおぐま
ooenai おおけない
o-ea おおげさ
o-aa おおさか
o-ao おおざと
ooii おおしい
o-euau おおせつかる
o-eu おおせる
o-ia おおっぴら
o-uooi おおつごもり
o-oi おおとり
o-oa おおどか
o-aani おおはばに
o-ia おおびら
o-aa おおまか
o-une おおむね
o-o- おおよう
o-oo おおよそ
o-aa おおらか
o-aaa おおわらわ
ooaeu おおわれる
oa-anoio おかあさんといっしょ
oaa おかか
oai おかき
oae おかけ
oaeiau おかけいたす
oae おかげ
oai おかし
oaina おかしな
oau おかす
oau おかず
oaeu おかせる
oain おかちん
oaoeo-uu おかどめ幸福
oaoiai おかど違い
oanoai おかの台
oaaa おかはら
oai おかみ
oau おかゆ
oaa おかわ
oaui おか釣り
oauu おがくず
oaiaou おがみたおす
oau おがむ
oaeu おがめる
oauu おが屑
oi おき
oiaau おきあがる
oiaaeu おきあがれる
oiaeu おきかえる
oiaau おきかわる
oiau おきだす
oiaeu おきだせる
oinaou おきなおる
oinanno-o- おきなん農業
oiu おきる
oiaueu おきわすれる
oinaiau おぎないあう
oinaeu おぎなえる
oiua おぎむら
oa- おぎゃー
oao おぎゃっと
ou おく
ouuu おくする
oui おくび
ouuai おくふかい
ouuai おくぶかい
ouau おくまる
ouuaii おくゆかしい
oua おくら
ouaeu おくらせる
ouiaeu おくりかえす
ouiooeu おくりとどける
ouu おくる
ouui おくるみ
oueaenaaa おくればせながら
ouee おくれ毛
oua おぐら
ouaiai おぐらひがし
oeu おける
ooaaii おこがましい
ooi おこし
ooi おこし
oou おこす
ooeu おこせる
ooau おこたる
oonaiuau おこないすます
oonaeu おこなえる
ooo おこも
oou おこる
ooeu おこれる
ooa おこわ
oooa おごそか
ooi おごり
oou おごる
oaeou おさえこむ
oaeueu おさえつける
oaeu おさえる
oaoa おさおさ
oaini おさきに
oanai おさない
oaau おさまる
oai おさみ
oaeu おさめる
oaaa おさらば
oan おさん
oanon おさんどん
oai おざき
oiaeu おしあげる
oii おしい
oiiu おしいる
oiieu おしいれる
oiuuu おしうつる
oieu おしえる
oioi おしおき
oiaeu おしかえす
oiauau おしかぶさる
oiaani おしが谷
oiiu おしきる
oiieu おしきれる
oiuo おしくも
oiua おしくら
oiou おしこむ
oioeu おしこめる
oiuueu おしすすめる
oieau おしせまる
oiaou おしたおす
oiaoeu おしたおせる
oiau おしだす
oiaau おしだまる
oio おしっこ
oiueaaii おしつけがましい
oiueu おしつめる
oie おして
oio-u おしとおす
oio-eu おしとおせる
oioi おしどり
oioiu-u おしどり夫婦
oinaau おしながす
oinaee おしなべて
oinoeu おしのける
oiaau おしはかる
oiaaeu おしはかれる
oiiau おしひらく
oiioeu おしひろめる
oiai おしまい
oiauu おしまくる
oii おしみ
oiu おしむ
oie おしめ
oioou おしもどす
oaui おしゃぶり
oaei おしゃべり
oaa おしゃま
oae おしゃれ
oae おしゃれ
oiau おしやる
oioeu おしよせる
oiae おしらせ
oiaaa おしら様
oii おしり
oioiana おしろい花
oiaeu おしわける
oin おしん
oiaau おし黙る
oi-an おじいさん
oi-an おじいちゃん
oii おじぎ
oiio- おじぎ草
oieau おじけだつ
oieu おじける
oian おじさん
oaa おじゃま
oau おじゃる
oan おじゃん
oia おじや
oo-an おじょうさん
oiu おじる
ou おす
ou おす
ouue おすすめ
ouoae おすそ分け
oueaai おすべらかし
ouai おすわり
ouou おずおず
oeai おせっかい
oeu おせる
oen おせん
oenae おぜん立て
ooi おそい
ooiaau おそいかかる
oou おそう
oouoo おそくとも
oonaau おそなわる
oono おその
ooau おそまつ
ooau おそらく
ooaua おそらくは
oouoou おそるおそる
oouei おそるべき
ooeiu おそれいる
ooeu おそれる
oooi おそろい
oooiu おそろしく
ooau おそわる
ooaeu おそわれる
ooi おぞい
ooaii おぞましい
oaoa おたおた
oaau おたかく
oaaini おたがいに
oauneono おたずね者
oauu おたふく
oauueuuo おたふく手袋
oaaiooi おたまりこぼし
oaeoai おためごかし
oa おだ
oaeu おだてる
oaaa おだやか
oiau おちあう
oiaeu おちあえる
oiiu おちいる
oioi おちおち
oiooeu おちこぼれる
oiou おちこむ
oiuiaau おちつきはらう
oiueu おちつける
oinoiu おちのびる
oiueu おちぶれる
oai- おちゃっぴい
oae おちゃめ
oaaau おちゃらかす
oaae おちゃらけ
oiuu おちゆく
oouu おちょくる
ooo おちょこ
oooui おちょぼ口
oiu おちる
oau おぢゃる
o' おっ
oaeu おっかける
oaan おっかさん
oanai おっかない
oanaiui おっかなびっくり
oaueu おっかぶせる
oina おっきな
ooiu おっこちる
ooou おっことす
oan おっさん
oau おっしゃる
oaeu おっしゃれる
oan おっちゃん
ooooi おっちょこちょい
ouau おっつかっつ
oue おっつけ
oe おって
ooi おっとり
oai おっぱい
oaau おっぱらう
ooiau おっぽりだす
ouaeaa おつかれ様
oue おつけ
ouu おつむ
ouoi おつもり
oeo おてしょ
oei おでき
oeo おでこ
oen おでん
oo おと
ooianai おとぎ話
ooonoo おとこの子
oooaii おとこらしい
ooiieu おとしいれる
ooiieu おとし入れる
oou おとす
ooueu おとずれる
ooeu おとせる
ooan おとっつぁん
oooi おととし
oonau おとなう
oonaiu おとなびる
ooaii おとましい
ooien おとり膳
oou おとる
oooeu おとろえる
oooo おどおど
ooau おどかす
ooe おどけ
ooeu おどける
ooiueu おどしつける
ooiou おどしとる
oou おどす
ooiaau おどりあかす
ooiaau おどり上がる
oou おどる
ooeu おどれる
ooooooi おどろおどろい
ooou おどろく
onaa おなか
onao おなご
onaii おなじみ
onaa おなら
onai おなり
oniii おにぎり
oneai おねがい
oneo おねしょ
ono おの
onoaii おのがじし
onouaa おのずから
onouo おのずと
ononou おののく
onoe おのれ
oao おはこ
oaoi おはしょり
oaii おはじき
oane おはね
oaoi おはもじ
oao- おはよう
oaai おはらい
oaaiao おはらい箱
oa-an おばあさん
oae おばけ
oaan おばさん
oiai おひたし
oaaau おひゃらかす
oioi おひろい
oieu おびえる
oiiau おびきだす
oiiaeu おびき出せる
oiu おびく
oii おびし
oiaaii おびただしい
oinaa おびなた
oiaau おびやかす
oiu おびる
ouuo おふくろ
ouu おぶう
ouau おぶさる
ouu おぶる
oea おべっか
oenaa おべんちゃら
o-enai おほけない
o-onooou おほとのごもる
ooeou おぼえこむ
ooeu おぼえず
ooeu おぼえる
ooo おぼこ
ooii おぼしい
ooieu おぼしめす
oou おぼす
ooaaun おぼっちゃまくん
oouanai おぼつかない
ooeu おぼめく
ooau おぼらす
ooeu おぼれる
ooeani おぼれ谷
ooo おぼろ
ooouio おぼろ月夜
oae おまえ
oaae おまかせ
oae おまけ
oainai おまじない
oaii おまじり
oae おませ
oau おまる
oioue おみおつけ
oioi おみこし
oiae おみやげ
oiai おみ足
ouui おむすび
oe- おめぇー
oeoe おめおめ
oeai おめかし
oeea おめでた
oeeo- おめでとう
oeniaau おめにかかる
ooi おもい
ooiaau おもいあがる
ooiaaeu おもいあわせる
ooiuaeu おもいうかべる
ooioou おもいおこす
ooioou おもいおよぶ
ooiaeu おもいかえす
ooiaenai おもいがけない
ooiaeu おもいがける
ooiii おもいきり
ooiou おもいこむ
ooiiaeu おもいしらせる
ooiuou おもいすごす
ooiau おもいたつ
ooiau おもいだす
ooiaeu おもいだせる
ooiuu おもいつく
ooiueu おもいつめる
ooie おもいで
ooiooau おもいとどまる
ooioau おもいとまる
ooinaou おもいなおす
ooinoou おもいのこす
ooiaou おもいまどう
ooio-eu おもいもうける
ooiau おもいやる
ooiauau おもいわずらう
oou おもう
oou おもう
oouaa おもうさま
oouonun おもうぞんぶん
ooeu おもえる
ooooii おもおもしい
ooai おもかじ
oouuii おもくるしい
oouoi おもくろい
ooi おもし
ooioi おもしろい
ooai おもたい
ooaa おもだった
ooau おもだつ
ooa おもちゃ
ooanoai おもちゃのまち
ooeau おもてだつ
ooeui おもて向き
oooai おもと会
ooni おもに
ooneu おもねる
ooaui おもはゆい
ooiou おもひよる
ooeau おもへらく
ooou おもほす
oouu おもむく
oouoni おもむろに
ooai おもらし
ooi おもり
oou おもる
oooi おもろい
ooonai おもろない
ooaii おもわしい
ooau おもわず
ooniu おもんじる
oonuu おもんずる
oonnai おもんない
oonaau おもんばかる
oonaau おもんぱかる
ooniu おもんみる
oa おや
oai おやじ
oaui おやすみ
oauinaai おやすみなさい
oa' おやっ
oauanani- おやつカンパニー
oao おや子
ooiuu およぎつく
ooiueu およぎつける
oou およぐ
ooeu およげる
ooo およそ
oou およぶ
ooou およぼす
oooeu およぼせる
oou およる
ooooio-iaeu およろこびもうしあげる
oa おら
oi おり
oi おり
oiau おりあう
oiaeu おりあえる
oiaeu おりあげる
oiaeu おりかえす
oiaaneu おりかさねる
oiou おりこむ
oioeu おりこめる
oiio おりしも
oiaau おりたたむ
oiau おりたつ
oinau おりなす
oiaeu おりまげる
oiaeu おりまぜる
oau おりゃる
oiu おりる
oin おりん
ou おる
oe おれ
oeau おれあう
oeaeu おれあえる
oeou おれこむ
oeaau おれまがる
oeu おれる
oooo おろおろ
ooaii おろかしい
ooio-a おろしショウガ
ooiane おろし金
oou おろす
ooeu おろせる
oooa おろそか
oonui おろ抜き
oau おわす
oai おわび
oaau おわらす
oaaeu おわらせる
oau おわる
oan おわん
onoi おんどり
onna おんな
onnai おんなじ
onnanoo おんなの子
onnaaii おんならしい
ona おんば
onu おんぶ
onoo おんぼろ
onnen おん念
oniii お握り
oeaaa お偉方
onauai お慰み
oaeoai お為ごかし
oaeui お為筋
ouui お移り
oiiue お引き受け
oiiue お引受け
oae お蔭
oaeaa お陰様
oaue お隠れ
ooi お越し
oaiiai お屋敷町
oio お下
oaai お下がり
oae お下げ
oaeai お下げ髪
oiai お下地
oae お化け
ooi お伽
ooianai お伽噺
oaen お加減
oie お家
oieei お家芸
oua お歌
oaa お河童
oana お花
oanaaae お花畠
oai お菓子
ouoi お過ごし
ouai お悔やみ
oaaae お改め
oeai お絵書き
oiai お開き
oau お株
oanui お冠
oeane お眼鏡
oneai お願い
oi お気
oiui お気づき
oiniii お気にいり
oiniii お気に入り
oinoi お祈り
oia お宮
ouui お許し
ooo お供
oonae お供え
oan お侠
oaai お鏡
oaa お玉
oaaaui お玉杓子
ouoe お勤め
oane お金
oeio お稽古
ouae お迎え
oiai お決まり
oiai お決り
oioe お見逸れ
oiai お見舞
ouu お古
ooae お呼ばれ
ooi お呼び
ooiae お呼び立て
oaai お互い
oaaiaa お互い様
oonoiai お好み焼き
oiaae お幸せ
oaai お構い
oaainau お構いなく
oioi お絞り
oaau お高く
oue お告げ
ouniui お国ぶり
ooi お腰
oa お座
oanai お座なり
oaui お座付
oaii お座敷
oeio お歳暮
oui お済み
oaui お祭
oauiaai お祭騒ぎ
oai お菜
ouui お作り
oau お札
oani お三時
oaii お参り
oaa お山
oan お産
oaiouui お蚕ぐるみ
oioi お仕置
oioi お仕置き
oiie お仕着せ
ooaa お子さま
ooaa お子様
oiinoaa お市の方
oauo お歯黒
oniai お似合い
oea お寺
ooae お持たせ
oui お次
oii お七
oiia お七夜
oiei お湿り
oau お酌
oaaaa お釈迦様
oaoi お守
ooi お守り
oeui お手つき
oenoono お手の物
oeaa お手玉
oeae お手上げ
oeau お手数
oeu- お手数
oeoi お手盛
oeoi お手盛り
oeae お手前
oeui お手付き
oeue お手付け
oeon お手本
oueoi お受け取り
ouai お住い
oiai お祝い
oeae お出かけ
oie お出で
oieoie お出でお出で
oeai お出まし
oaai お巡り
oaaian お巡りさん
oau お初
oauo お初穂
oae お勝手
oei お召
oeiono お召し物
oau お松
oaai お笑い
oai お上
onooian お上りさん
oo-u お上手
oo-aa お嬢様
oaai お飾り
oue お触れ
oino お新香
oii お神酒
oioi お神輿
oai お針
oaio お針子
oiooi お人好し
oaune お尋ね
oauneono お尋ね者
oinaaa お雛様
ouoae お裾分け
ouai お澄し
oei お世辞
oo-au お正月
ooeaai お声掛り
oei お節
oeai お節介
oui お雪
oen お仙
oai お先
oaio- お先棒
oai お銭
oae お前
oenae お膳立て
oi-an お祖父さん
oa-an お祖母さん
ooau お粗末
oao- お早う
oao- お早う
ooui お送り
ooa お側
oai お足
oooie お揃いで
oaoan お孫さん
oauu お多福
oauuae お多福風
oaio お太鼓
oauu お陀仏
oaio-aa お待ち遠様
ouuo お袋
oai お代
oaai お代り
oaiou お題目
oau お宅
oai お達し
oooai お断り
oani お談義
oiae お知らせ
oa お茶
oanoo お茶の子
oanoiuoiaiau お茶の水女子大学
oaii お茶ひき
oaa お茶屋
oaa お茶屋
oao お茶子
oaue お茶請け
oaue お茶漬け
oaii お茶挽
ou-en お中元
oiu お昼
oo-iono お調子者
oo-i お通し
oua お通夜
oua お蔦
ououi お壷口
oui お釣
oui お釣り
oaaai お定まり
oeni お天気
oenoaa お天道様
oanaono お店者
oena お転婆
oeae お点前
oen お伝
ouae お伝え
ooa お土砂
ou お湯
ooae お答え
oouian お得意さん
ooiaa お酉さま
onae お鍋
oiaa お日様
oinoi お忍び
ooi お年
ooiaa お年玉
oinei お捻り
ooae お納め
onanoio お納戸色
oa-an お婆さん
oaiou お買い得
oai お萩
ouu お薄
oau お八つ
oai お鉢
oaieui お鉢めぐり
oai お発ち
ooo お伴
oioe お披露目
ouaeaa お疲れさま
oiaoo お膝下
oieaa お姫さま
oieaa お姫様
oauo お百度
oinuu お賓頭盧
oui お付
oue お布施
oo-an お父さん
oo-an お父ちゃん
ooan お父つぁん
oea お部屋
ouuae お福わけ
ouuae お福分け
onaa お腹
oaaiao お払い箱
oaaiono お払い物
oia お平
oaia お平ら
oaai お変り
oaei お返し
oaoi お便り
oa-aa お母さま
oa-aa お母様
oaaa お宝
oaae お抱え
oaa お方
oioaii お忙しい
ouiui お墨付き
oon お盆
oeniaau お目にかかる
oeoi お目もじ
oeaa お目玉
oeie お目見え
ooai お貰い
oaoiai お門違い
oi-an お爺さん
oaoi お誘い
oaue お預け
oao お里
oai お立ち
oaiai お立ち台
onaae お流れ
oiaa お力
oonai お隣
oia お冷
oei お礼
oeiaii お礼参り
oooe お零れ
oeiei お歴々
oeiei お歴歴
oanai お話
oanai お話し
oai お詫び
oiu お櫃
oae お洒落
oae お洒落
oaai お浚い
oaai お祓い
ouu お襁褓
aeuo ア・テスト
aaauo ア・ラ・カルト
a-aiu アーカイブ
a-ieua アーキテクチャ
a-ueno アーギュメント
a-uenoiuo アーギュメントリスト
a-u アーク
a-e-o アーケード
a-a- アーサー
a-ueiau アース製薬
a-i アーチ
a-iuo アーチスト
a-a-anieuuioano アーチャー・ダニエルズ・ミッドランド
a-'iuo アーティスト
a-oi アート紙
a-ni- アーニー
a-neuo アーネスト
a-an'ueuo アーバンウエスト
a-ioe-on アービトレーション
a-en アーヘン
a-eno アーベント
a-eano アーペラント
a-ao アーマド
a-ono アーモンド
a-an アーラン
a-on アーロン
a-ai アー崎
a-uaa アアツ川
a-aia アアラ島
aianoeu アイ　アンド　エス
aieui- アイ・エス・ビー
aienue- アイ・エヌ・エー
aienueiiaaieieioen アイ・エヌ・エイひまわり生命保険
aieuai アイ・エム・アイ
aio-e-aii アイ・オー・データ機器
aii-aiaan アイ・シー・アイ・ジャパン
aieu アイ・テック
aii-eu アイ・ビー・エム
ai-a アイーダ
aiaoa アイアコッカ
aian アイアン
aianoeu アイアンドエス
aie- アイエー
aieueii アイエス精機
aienueiiaaieieioen アイエヌエイひまわり生命保険
aienui-eieioen アイエヌジー生命保険
aioa アイオワ
aiauai アイカップ崎
aiao-o- アイカ工業
aiaanai アイカ販売
aia- アイガー
aia- アイガー
aiao アイガモ
aiao アイキャット
aiu アイク
aio アイコ
aio- アイコー
aiouaua アイコクアルファ
aiouauaeniniainu アイコクアルファエンジニアリング
aiou アイコム
aiaao-o- アイサワ工業
aianonu-aa-iu アイサンコンピュータサービス
aianeunooi- アイサンテクノロジー
aiau アイザック
aii-eu アイシーエス
aiinaiaa アイシナイ川
aiao- アイシャドー
aiin'eiauu アイシン・エイ・ダブリュ
aiineii アイシン精機
aiu アイス
aiuai-na アイスアリーナ
aiuane- アイスキャンデー
aiuui-u アイスクリーム
aiuue-o アイススケート
aiuue-oinu アイススケートリンク
aiua-o-aiai アイスター共済会
aiuanu アイスダンス
aiu'i- アイスティー
aiuoe- アイスホッケー
aiuan アイスマン
aiua- アイスラー
aiuano アイスランド
aieu アイセック
aien アイゼン
aioo-u アイソトープ
aiaeniniainu アイダエンジニアリング
aiao アイダホ
aiio-oe-on アイチコーポレーション
aiu アイツ
ai'i-o- アイティーオー
aieu アイテック
aieu アイテム
aiea アイデア
aii-o アイディード
aiia アイディア
aiio アイディド
aieuuaoaoi-u アイデックスラボラトリーズ
aien'i'i アイデンティティ
aien'i'i- アイデンティティー
aio- アイトー
aioiu アイドリス
aiou アイドル
ainae アイナメ
aininauai アイニンカップ崎
ainu アイヌ
ainuiai アイヌ岬
aineu アイネス
aineuaua- アイネスサウザー
aineo アイネット
aia-on アイバーソン
aiau アイバック
aianu アイバンク
aii- アイビー
aii-eo-in アイビー化粧品
aiiuu アイビックス
aiiuu アイビックス
aiuo-ueunooi- アイフホームテクノロジー
aiuu アイフル
aiuuo-ueunooi- アイフルホームテクノロジー
aie'iu アイベティック
aieu アイペック
aio-aau アイホー化学
aion アイホン
aioi アイボシ
aioiaaa アイボシマ川
aieia アイメディア
aianounai アイランド・ウナリ
aii-n アイリーン
aiiu アイリス
aiiuiau アイリス企画
aiuon アイルトン
aiuonenao-ea- アイルトン・セナ・ｆｏｒｅｖｅｒ
aiuano アイルランド
aiuanoo-aun アイルランド共和軍
aieuu アイレックス
aio-uo-o-uiai アイローグ協同組合
aioni- アイロニー
aionai アイロン台
aia アイワ
aiao-o アイワ・コーポ
aiao-u アイワホーム
aiaiae アイワ岩手
ain アイン
ainuain アインシュタイン
ainuainu-u アインスタイニウム
aio アイ子
auuiu アウシュビッツ
auuiuu-o-o アウシュビッツ収容所
auaui- アウタルキー
auo アウト
auoouo-o アウト・オブ・モード
auoo-u アウトコース
auoaia- アウトサイダー
auooa アウトドア
auouo アウトプット
auooun アウトホルン
auoain アウトライン
auoai-na アウトラチーナ
auue-en アウフヘーベン
aueiuu アウレリウス
aun アウン
aunanu-i- アウンサンスーチー
aunoiaa アウンモイ川
aeu アエル
aeouo-o アエロフロート
aoi アオイ
aoeno- アオエンドウ
aoai アオカビ
aoaeu アオガエル
aoi アオキ
aoiina-naonau アオキインターナショナル
aoiu-a- アオキスーパー
aoioanu アオキトランス
aoii アオギリ
aoo アオコ
aoa アオサ
aoai アオザイ
aoaio- アオダイショウ
aonoi アオノリ
aoae アオバエ
aoao アオバト
aoae アオマメ
aoioo アオミドロ
aoui アオムシ
aa アカ
aaun'inu アカウンティング
aauno アカウント
aaei アカエイ
aaai アカガイ
aaai アカガシ
aai アカギ
aaeau アカゲザル
aaa アカザ
aaia アカシア
aaio アカシオ
aain アカチン
aauiano- アカツキ産業
aauio-i アカツキ商事
aaei- アカデミー
aaeiu アカデミック
aaono アカトンボ
aanau アカナス
aane アカネ
aaaeaa アカハゲ山
aaaa アカハラ
aaa アカバ
aauia アカブ島
aauuo アカプルコ
aaau アカマツ
aaau アカマツ
aae アカメ
aaeaia アカメガシワ
aanou アカンボク
aa アガ
aau アガる
aai アガシ
aaua アガツマ
aaounoai アガトスの会
aae- アガペー
aaiuuae アガリクス茸
ai アキ
aie アキエ
aio アキコ
aiaoai アキタコマチ
aiaeni アキタ電子
aino アキノ
auue-a アキュムレータ
ao-ou アキョウボク
aio アキヨ
aieu アキレス
aieuen アキレス腱
aio アキ子
aio アキ夫
ainaiia アギナミ岩
aiea アギレラ
au アク
auaain アクアマリン
auaanu アクアラング
auaeieioen アクサ生命保険
auieno アクシデント
auon アクション
auiu アクシヴ
aueai アクセサリ
aueno アクセント
auinu-u アクチニウム
auiu アクチブ
auuau アクチュアル
auue-a アクチュエータ
au'iu アクティブ
au'iu アクティブ
auou アクモス
auoa アクモラ
aua アクラ
auiu アクリル
auoio アクロイド
auoao アクロバット
auua アグスタ
auu'ine アグスティネ
auneu アグネス
auneuae-o アグネスパレード
aui アグリ
aui-eno アグリーメント
aueuu アグレックス
auean アグレマン
auoaneo- アグロカネショウ
aun アグン
aei アケビ
aeonouan アケボノ物産
aei アケミ
aeao- アゲハチョウ
aeai アゲマキ
ao-u'iu アコースティック
ao-ou アコウボク
aou アコム
aou アコム
aoaai アコヤガイ
aoue アゴステ
aoia アゴ島
aa アサ
aa アサ
aa-on アサーション
aai アサイ
aain アサイン
aae アサエ
aaauan アサカ物産
aaao アサガオ
aaai アサガミ
aaiinaiai アサキリナイ崎
aauanoi アサクサノリ
aao アサコ
aaa アサダ
aai アサヂ
aaui アサツキ
aao アサド
aano アサノ
aai アサヒ
aaiio- アサヒ紙工
aauaai アサムラサキ
aao アサヨ
aaoine アサヨ峰
aai アサリ
aae アサヱ
aao アサ子
aai アザミ
aaai アザラシ
aaau アザラップ
ai アシ
ai-o アシード
aia アシカ
aiaae アシカ碆
aiaa-o アシガバート
aiuano アシスタント
aiuo アシスト
aiaauo アシダカグモ
aiuu アシックス
aiuuo-i アシックス商事
ainaaai アシナガバチ
aiaa-o アシハバード
aiaa アシハラ
aii アシビ
aieuaa アシベツ川
aiou アシモフ
aiaua アシヤユカ
auaun アシュダウン
aui- アシュリー
aue アシュレ
aiieunoai アシリベツの滝
ai アジ
aiu アジる
aia アジア
aiaauiaoauin アジア・アフリカ語学院
aiaaii-uoonoano アジア・ハイ・イールド・ボンド・ファンド
aiaonoanoaeni-ano アジア・ボンド＆カレンシー・ファンド
aiaeeuooniuu アジアエレクトロニクス
aiaaa- アジアカラー
aiaaa-enei アジアサッカー連盟
aian アジアン
aiaaiauino- アジア開発銀行
aiao-ou アジア航測
aiaaieio-oe-oena- アジア太平洋トレードセンター
aiai アジサイ
aiu アジズ
aiuu-u アジズプール
aio アジト
aioiiin アジドチミジン
aiuo アジプロ
aauo アジャスト
aana アジャンダ
aunoaaaa アスの沢川
aua アスカ
auao-i アスカ商事
aui- アスキー
auu アスク
auuo-ana アスク講談社
aueneiau アスゲン製薬
auoo アスコット
auau アスザック
aua- アスター
auaiuu アスタリスク
au'i アスティ
au'ioinuena- アスティショッピングセンター
aueion アステイオン
aueuo-o- アステル東京
auoia アストリア
auoio アストリッド
aunao アスナロ
auno アスノ
auaa アスパラ
auaaau アスパラガス
auiin アスピリン
auin アスピン
auauo アスファルト
aueuo アスベスト
aueuo アスペクト
auaa アスマラ
auiu アスミック
auo アスモ
auoae アスモ前
aueiu アスレチック
aueiuu-u アスレチックルーム
aunion アスンシオン
aunion アスンシオン
aui アズキ
auiio アズキイロ
aua アズサ
auao-o- アズマ工業
aean アセアン
aeanuui-uano アセアン・シュプリーム・ファンド
aeueno アセスメント
aeien アセチレン
aee-o アセテート
aeon アセトン
aei アセビ
aenua アセンブラ
aenuu アセンブル
aeu アゼル
aeuaian アゼルバイジャン
ao-ia'iu アソーシアティブ
aoia'ii'i アソシアティビティ
aoie-on アソシエーション
aaeu アタエフ
aaao-o- アタカ工業
aaaia アタカ島
aauaaa アタクチャ川
aaeiai アタケ岬
aao アタゴ
aaa- アタッカー
aauain アタックライン
aaue-u アタッシュケース
aaieno アタッチメント
aaa アタマ
aai アタリ
aaiano-en アタリヤ農園
aaio アダジオ
aau アダック
aaua アダプタ
aaua- アダプター
aau アダム
aauneo アダムネット
aauo アダルト
aauoieo アダルトビデオ
ai-uenoeuo アチーブメントテスト
aio-iu アチドージス
aaien アチャミエン
a' アッ
aouuani アッという間に
aouuani アッと言う間に
aane- アッカンベー
aeaan アッケラカン
aau アッサム
aai アッシャリ
au アッツ
a'ia アッティラ
aoo-u アットホーム
aoo-u アットホーム
aa アッパ
aa- アッパー
ai-u アッピール
au アップ
au アップ
auau アップアップ
auaiu アップダイク
auaun アップダウン
auu- アップップ?
auu-e-o アップツーデート
aue-o アップデート
auiau-aneu アップリカヒューマンウェル
auuai アップルパイ
au アツ
auau アツアツ
auen アツデン
auoi アツトリ
auieu アツミテック
auo アツ子
ae アテ
aeu アテる
aeiou アテイボク
aeuu アテックス
aena アテナ
aenao-ai アテナ商会
aene アテネ
aene アテネ
aeeo アテレコ
aenon アテンション
aiuaea アディスアベバ
aeaui-n'eio アデカクリーンエイド
aeu アデック
aenoio アデノイド
aeanu アデランス
aen アデン
aooaaa アトコシヤラカ
aoanuui アトサヌプリ
aoni- アトニー
aoni-aioauin アトニー外語学院
aoi- アトピー
aoiuu アトミクス
aou アトム
aou アトム
aoouea アトモスフェア
aoauon アトラクション
aoan'iui'i- アトランティックシティー
aoi アトリ
aou-u アトリウム
aoie アトリエ
aoiu-o アトリビュート
ao アド
aoeuo アド・メルコ
aoe-a アドエー社
aoio- アドキ島
aoaia- アドバイザー
aoaneuo アドバンテスト
aoue-na アドブレーン社
aoeniuoeiauena- アドベンチストメディカルセンター
aoena-a-uo アドベンチャーワールド
aoou アドホック
aoiniuoe-on アドミニストレーション
aoiniuoe-a アドミニストレータ
aoia アドリア
aoiu アドリブ
aouu アドルフ
aoeinu アドレシング
aoenain アドレナリン
aoan アドヴァン
ana アナ
ana-iuo アナーキスト
ana-iuu アナーキズム
anauna アナウンサ
anaunu アナウンス
anauoniuu アナクロニズム
anaua アナグマ
anao アナゴ
anaoui アナゴずし
anaa-aoauonu アナザー・サッド・ラブ・ソング
anau アナス
ananau アナナス
anaaia アナマ岩
anaiiu アナリシス
anaiuo アナリスト
anaou アナログ
anaoi- アナロジー
anan アナン
anaa アナ場
ani-u アニール
anie アニメ
anie-on アニメーション
aneuoiaa アネスト岩田
aneuuiu アネックスビル
aneone アネモネ
aneua アネルバ
ano-ai アノウ崎
anoeeu アノフェレス
anoau アノラック
aaa アハハ
aa-ue-a アバールデータ
aaiiuuau アバイディグクラブ
aaan アバダン
aaauuina-naonau アバハウスインターナショナル
aanauo アバンギャルド
aane-u アバンゲール
aaneo-oe-on アバンセコーポレーション
aanu-u アバンチュール
aa アパ
aa-o アパート
aaa アパチャ
aaoauuu アパトサウルス
aaaia アパラチア
aauoeio アパルトヘイト
aaeu アパレル
aaeue-a- アパレルメーカー
aiu アヒル
ai-u アビーム
ai-o-o アビーロード
ainon アビニョン
ai-u アピール
aia アピア
