a-i はーい
oiaeu ほりさげる
oiuuu ほりすすむ
oiau ほりだす
oiaeu ほりだせる
oiueu ほりつける
ou ほる
ouoai ほると台
ouu ほるぷ
ouuuan ほるぷ出版
oeou ほれこむ
oeu ほれる
oeou ほれ込む
ooo ほろっと
ooniai ほろにがい
ooiu ほろびる
oou ほろぶ
oooo ほろほろ
oooooi ほろほろ鳥
ooou ほろぼす
oooeu ほろぼせる
ooio ほろりと
ooniai ほろ苦い
ono ほんと
ononi ほんとに
onni ほんに
onno ほんの
onnoi ほんのり
ona ほんま
oo- ほ場
onu- ほ乳
onu-ui ほ乳類
o-iao- ぼーき佐藤
o-o- ぼうこう
oui ぼうし
o-uu ぼうする
o-uau ぼうグラフ
oai ぼかし
oau ぼかす
ou ぼく
ouuu ぼくする
ounenin ぼくねんじん
oe ぼけ
oeu ぼける
oooo ぼこぼこ
oao ぼさっと
oaoa ぼさぼさ
ooo ぼそっと
oooo ぼそぼそ
oaoa ぼたぼた
oan'ui ぼたん雪
oaaa ぼた山
oaoi ぼた餅
oaiu ぼだい樹
oioi ぼちぼち
oei ぼってり
oo ぼっと
oau ぼっ発
ouou ぼつぼつ
oooo ぼとぼと
oa ぼや
oaau ぼやかす
oaeu ぼやける
oao ぼやっと
oaoa ぼやぼや
ou ぼる
oo ぼろ
ooi ぼろい
oooo ぼろぼろ
oooo ぼろぼろ
onua ぼんくら
on'ai ぼんやり
on'ai ぼんやり
ono- ぼん鐘
oi ぽい
o-o ぽうっと
oa ぽか
oao ぽかっと
oaoa ぽかぽか
oano ぽかんと
oau ぽしゃる
oaoa ぽたぽた
oaoa ぽちゃぽちゃ
oaoa ぽっかぽか
oai ぽっかり
oii ぽっきり
oui ぽっくり
oii ぽっちり
oo ぽっと
ooe ぽっと出
ooo ぽっぽと
ouneno ぽつねんと
ouou ぽつぽつ
oui ぽつり
ouioui ぽつりぽつり
ouno ぽつんと
oooo ぽとぽと
ooio ぽとりと
oooo ぽろぽろ
ooio ぽろりと
on ぽん
onou ぽんこつ
onuu ぽんつく
ono ぽんと
onon ぽんぽん
onon ぽんぽん
onii ぽん引き
a- ハー
a- ハア
aai ハアリ
ai ハイ
aiaa-i ハイアラーキ
aiaa-iiueu ハイアラーキシステム
aiei ハイウェイ
aiue- ハイウエー
aiena ハイエナ
aieno ハイエンド
aia- ハイカー
aiaa ハイカラ
aiinoana ハイキノ鼻
aiiai ハイキ崎
aio ハイギョ
aiu ハイク
aiuau ハイクラス
aiau ハイジャック
aiuu-u ハイスクール
aiui-o ハイスピード
aioae'i ハイソサエティ
aiouu ハイソックス
aiaa ハイタカ
aiaenoana ハイタテノ鼻
aii ハイチ
aiu ハイツ
ai'i-n ハイティーン
aieu ハイテク
aieueio- ハイテック精工
aieaa-o ハイデラバード
aien ハイデン
aioa-u ハイドパーク
aion ハイドン
aineu ハイネック
aiai ハイハイ
aia-ea ハイパーウェア
aiano ハイパント
aii-u ハイヒール
aiion ハイビジョン
aiiuau ハイビスカス
aia ハイファ
aiai ハイファイ
aion ハイフォン
aion ハイフォン
aiun ハイフン
aiuio ハイブリット
aiuio ハイブリッド
aie-u ハイペース
aio-u ハイボール
aio ハイポ
aioa-o ハイポチャート
aia-o ハイマート
aiau ハイマツ
aiu ハイム
aia- ハイヤー
aiaio ハイライト
aiano ハイランド
aieu ハイレグ
aieeu ハイレベル
aino ハインド
ainain ハインライン
ainii ハインリヒ
aueu ハウエル
auai ハウサウィ
auinu ハウジング
auu ハウス
auuouin ハウス食品
aueu ハウテック
ae ハエ
aeaai ハエたたき
aeiou ハエジゴク
aeoiua ハエトリグサ
ao-u ハオウジュ
aaeaa ハカセ碆
aai ハガキ
aiai ハキハキ
ai ハギ
ai ハギ
aino ハギノ
ainoaa ハギノ川
aiaaui-ai ハギハラスリーアイ
au ハク
auiuaaeiauo ハクイ村田製作所
auai ハクサイ
auao-ai ハクタ商会
auo- ハクチョウ
auo- ハクトウ
auo-ai ハクトウワシ
auaainano- ハクバ写真産業
auouen ハクモクレン
auo- ハクヨウ
ae ハゲ
aeio- ハゲイトウ
aeaa ハゲタカ
aeai ハゲワシ
ao ハコ
aoe ハコベ
aoanai ハコヤナギ
aau ハサむ
aai ハサミ
aa-o ハザード
aaa ハザマ
ai ハシ
aio ハシッコ
aiai ハシバミ
aie ハシメ
aioinoana ハシロイノ鼻
ai ハジ
ai ハジ
aiai ハジカミ
aio ハジッコ
aie ハジメ
aiai ハジラミ
au ハス
au ハズ
auuaou ハズブラトフ
aue ハズレ
aeaa ハセガワ
ae ハゼ
aeuui ハゼウルシ
aenoi ハゼノキ
aaoi ハタオリ
aaoiui ハタオリムシ
aaoia ハタゴ島
aaaa ハタハタ
aaaiai ハタラキアリ
aaaiai ハタラキバチ
aano- ハタンキョウ
aaaui ハダカムギ
aaaui ハダカムシ
aai ハダシ
ai ハチ
aie ハチエ
aiu ハチク
aiu ハチス
aioi ハチドリ
aian ハチバン
aiiu ハチミツ
au-ui ハチュウルイ
au-ui ハチュウ類
aio- ハチロー
aio- ハチ公
aiia ハチ島
aiiu ハチ密
a' ハッ
aa ハッカ
aau ハッカユ
aii ハッキリ
ainu ハッキング
auiiaa ハックキミサワ
auni- ハックニー
aau ハッサク
aan ハッサン
au ハッシュ
ainu ハッシング
ai ハッジ
auu ハッスル
auaoanaiae ハッタオマナイ岳
ai ハッチ
aauai ハッチャス崎
aeuao ハッテスタト
aooiu ハットトリック
aoieia ハットリ製茶
aaa ハッハッハ
aa ハッパ
ai ハッピ
ai-eno ハッピーエンド
auu ハッブル
au ハツ
aui ハツイ
aue ハツエ
auaaion ハツカダイコン
auaneui ハツカネズミ
auae ハツタケ
aune ハツネ
auno ハツノ
aui ハツミ
auo ハツヨ
aue ハツヱ
auo ハツ子
aunoana ハヅノ鼻
ae ハテ
aena ハテナ
aeai ハテ崎
aeia ハテ島
ai ハディ
aeu ハデム
aea ハデラ
ao ハト
aoau ハトバス
aoui ハトムギ
aooni ハトロン紙
aoon ハドソン
aoon ハドソン
ana ハナ
ana ハナ
anae ハナエ
anauiia ハナグリ島
anao ハナコ
anao-u ハナショウブ
anain ハナシン
anauo- ハナズオウ
anaaaaa ハナタカ山
anaen ハナテン
anaaui ハナマルキ
anaiui ハナミズキ
anaaai ハナヤサイ
anao ハナヨ
anaeai ハナレ崎
anae ハナヱ
anao ハナ子
ane ハネ
ane- ハネー
aneoeia ハネコエ島
aneuuaa ハネズル山
aneu-n ハネムーン
aneau ハネ出す
aneaau ハネ上がる
ano-a- ハノーバー
anoi ハノイ
anoiaa ハノ木沢
aaoua ハハコグサ
aana ハバナ
aaouuu ハバロフスク
aaiana ハビャリマナ
aineo ハピネット
ainon ハフィントン
auan ハフマン
auano-o ハフマンコード
au ハブ
auo- ハブソウ
auai ハブラシ
auia ハブ島
auuuuu ハプスブルク
auninu ハプニング
aeu ハベル
aoan ハボタン
aoaioiio- ハボマイモシリ島
aoo-ne ハボローネ
aa ハマ
aa ハマ
aau ハマる
aai ハマイ
aaooo ハマオモト
aao-euu ハマキョウレックス
aain ハマキン
aaui ハマグリ
aau ハマス
aaaaa ハマダラカ
aaainauiai ハマダ印刷機械
aai ハマチ
aau ハマツ
aao ハマド
aanaa ハマナカ
aanen ハマネン
aao-u- ハマボウフウ
aau- ハマユウ
aao ハマ子
aiai ハミガキ
aio ハミド
aiuon ハミルトン
aiuonae ハミルトンガメ
ainu ハミング
ainuo-o ハミングコード
au ハム
aui ハムシ
auua- ハムスター
aueo ハムレット
aenei ハメネイ
ao ハモ
aonia ハモニカ
aonoouan ハモンドオルガン
aa ハヤ
aa ハヤ
aau ハヤる
aai ハヤシ
aaiaiu ハヤシライス
aaua ハヤブサ
aaio-an ハヤミ工産
ao-une ハヨームネ
aa ハラ
aa ハラ
aa-e ハラーレ
aaonai ハラごなし
aaueno ハラスメント
aan ハラン
ai ハリ
ai- ハリー
aiaou ハリたおす
aiuo ハリウッド
aiuoio-enonao- ハリウッド美容専門学校
aienu ハリエンジュ
aia ハリカ
aie-n ハリケーン
aiu ハリス
aioneni ハリソン電機
aineui ハリネズミ
ainoi ハリノキ
aiauu ハリファクス
aiao ハリマオ
aiao-auan ハリマ共和物産
au ハル
aui ハルイ
aue ハルエ
auaioiio- ハルカリモシリ島
auo ハルコ
auae ハルサメ
aueu ハルセル
auei ハルゼミ
aua ハルタ
auu-u ハルツーム
auno ハルノ
aua-uau ハルバースタム
auin ハルビン
auaeon ハルマゲドン
aui ハルミ
auo ハルヨ
aue ハルヱ
auo ハルヲ
auo ハル子
ae-on ハレーション
ae-uiei ハレー彗星
aeu ハレム
aeua ハレルヤ
ao ハロ
ao- ハロー
ao-a-u ハローワーク
aoin ハロウィン
aoin ハロウィン
aoen ハロゲン
aa-o ハワード
aai ハワイ
aaiaiau ハワイ大学
an ハン
ani ハンウィ
anai ハンカチ
ana- ハンガー
anan ハンガン
anu ハンク
anu ハング
anuu ハングル
anei ハンケチ
ano ハンコ
anau ハンサム
anai ハンザキ
anu ハンス
anuo ハンスト
aneno- ハンセン病
ana- ハンター
ana ハンダ
aninu ハンチング
anuiu ハンツビル
ane ハンデ
ani ハンディ
anion ハンディホン
ano ハンド
anoia ハンド島
anna ハンナ
annoi ハンノキ
ana-a- ハンバーガー
ana-u ハンバーグ
anui- ハンフリー
anui- ハンフリー
anuuu ハンブルク
anu-i ハンプウシ
anuon ハンプトン
ana- ハンマー
anaia ハンミャ島
ano- ハンミョウ
anou ハンモック
a- バー
a-nu バーンズ
ai バイ
aiau バイアス
aiauon バイアスロン
aieu バイエル
aieuauin バイエル薬品
aio バイオ
aioo-oe-on バイオ・コーポレーション
aioanaooi- バイオサナトロジー
aioeunooi- バイオテクノロジー
aioniuu バイオニクス
aioiniuo バイオリニスト
aioeo バイオレット
aioaau バイオ科学
aiau バイカル
aiauo-u- バイカル航空
aiin バイキン
aiinuiu バイキングシップ
aiu バイク
aionu-u バイコヌール
aia- バイザー
aiai'i バイタリティ
aiai'i- バイタリティー
aii バイチ
aieu バイテック
aio バイト
aioauiueuaaneu バイトマルチプレクサチャネル
ainai バイナリ
aiai バイバイ
aiau バイパス
aiuu バイブル
aiue-a バイブレータ
aiue-a- バイプレーヤー
aio-a バイポーラ
aio-aoaniua バイポーラトランジスタ
aia- バイヤー
aiau バイヤス
aina- バインダー
aininu バインディング
aiin バイ菌
auauu バウ・ハウス
auno バウンド
aaeu バカげる
aaai バカガイ
aaae バカタレ
aaana バカッ花
aaaaii バカバカしい
aaao- バカヤロー
aanu バカンス
aaono バガボンド
au-ua- バキュームカー
aio バギオ
au バク
au- バクー
auua- バクスター
auua- バクスター
aueia バクテリア
au バグ
aua-o バグダード
auao バグダッド
aeo バケット
aeu バケツ
aooo バコロド
aoooio-aiano バコロド地方裁判所
aai バサミ
aan バサン
aa- バザー
ai- バシー
ai' バシッ
ao- バショウ
aiia バシリカ
ai-u バジール
aanoa バジャノワ
au バス
aui バスキ
aueoo-u バスケットボール
auena-ae バスセンター前
aua-inau バスターミナル
aui-u バスチーユ
auei バスデイ
auo バスト
aua バスラ
auo-u バスローブ
auei バス停
au-ao- バズーカ砲
aee-u バセテール
aeo-o- バセドー病
aa バタ
aa- バター
aa-n バターン
aauai バタくさい
aa' バタッ
aau バタック
aaaa バタバタ
aaaaaa バタバタバタ
aauai バタフライ
aanau バタンガス
aanan バタンバン
aauai バタ臭い
aian バチカン
aian バチカン
aiua バチスタ
aiuu バチルス
aau バッカス
ainau バッキンガム
au バック
auu バックル
au バッグ
au バッグ
aen バッケン
aonoai バッコノ崎
aai バッサリ
ainu バッシング
ai バッジ
ao バッジョ
aa バッタ
aaaa バッタバッタ
ai バッチ
aii バッチリ
a'inu バッティング
aei バッテリ
aeiauau バッテリバックアップ
ao バット
aoan バットマン
aonu-u バッドニュース
aa バッハ
aa バッファ
aainu バッファリング
au バツ
a'iu バティック
aeae バテバテ
aeu バテル
ai バディ
aiiueu バディシステム
aoa- バトラー
aou バトル
aon バトン
aonai バトンタッチ
aoinon バドミントン
anana バナナ
aniinuui-u バニシングクリーム
aninouao バニノスラト
ania バニラ
aninu バニング
anuau バヌアツ
ane バネ
aaa バハマ
aa ババ
aaoa ババロア
auouiai バブコック日立
auu バブル
auueoi バブルメモリ
aueua バプテスマ
aeu バベル
aeunoo- バベルの塔
aao バマコ
au-a バミューダ
aauaan バヤスガラン
aauaan バヤスガラン
aa バラ
aa バラ
aa-o バラード
aauu バラつく
aae'i- バラエティー
aaeu バラゲル
aaaniai バラサン岬
aau バラス
aau バラック
aaui バラツキ
aau-u バラデュール
aaaa バラバラ
aaaaien バラバラ事件
aaai バラマキ
aaon バラモン
aaaia バラライカ
aanin バランシン
aanui-o バランスシート
ai バリ
ai- バリー
aiaui- バリアフリー
aie-on バリエーション
aian バリカン
aion バリコン
aie-on バリデーション
aion バリトン
aiai バリバリ
au- バリュー
aio- バリ島
au バル
au-naa バルーンさが
auan バルカン
auanano- バルカン半島
auau バルガス
auu バルク
auon バルコン
auau バルザック
aueona バルセロナ
auanei バルタン星
auoai バルト海
auaou バルバドス
auo バルボ
auaiaa バルマイ川
ae バレ
ae- バレー
ae- バレエ
aeo バレオ
aea バレッタ
aei-na バレリーナ
aeuu バレルス
aenia バレンシア
aenaine- バレンタインデー
ao- バロー
ao-anoeuau バロウ・アンド・ウェルカム
aou バロック
aoe-a バロメータ
aoe-a- バロメーター
aon バロン
an バン
an バン
ana- バンカー
anaa バンカラ
ana-oiueuu バンガードシステムズ
anao- バンガロー
aninu バンキング
aninuiueu バンキングシステム
ani バンギ
anu バンク
anuu バンクス
anuaeu バングラデシュ
anuaeu バングラデシュ
anoiuaoiuaa バンコ・ビルバオ・ビスカヤ
anou バンコク
anai バンザイ
ano- バンショウ
ani-anu バンジージャンプ
anu-u バンジュール
ano- バンジョー
anu バンス
anu バンス
anaan バンタッタン
anau バンタム
anai バンダイ
anauoeini バンダルホメイニ
ano バント
ano バンド
anon バンドン
annaae バンナ岳
anaianaiano バンハ治安裁判所
anan バンバン
ana- バンパー
anaia バンパイヤ
anu バンプ
anuuuae-n バンプルプラエーン
an'ao バンヤット
a パ
ai-u パ・リーグ
a- パー
a-uinou パール金属
ai パイ
aionia パイオニア
aioniaeneu パイオニア電設
aioauu パイオラックス
aien パイゼン
ainauu パイナップル
aia- パイパー
aiu パイプ
aiuau パイプ役
aiiai パイミ崎
aiin パイリン
aiu パイル
aioo パイロット
aioooeu パイロットモデル
ain パイン
aueu パウエル
auieuaa パウシベツ川
aua- パウダー
aua-eu パウダーテック
aui パウリ
auo パウロ
aeo パエト
ao パオ
aou パオス
aaa パカヤ
aiuan パキスタン
aia パキラ
auau パクパク
aun パクン
auou パグウォッシュ
aeo パケット
aeouooou パケットプロトコル
aoa パゴダ
aaena パサデナ
aaena パサデナ
aaaa パサパサ
ai-ni パシーニ
aiuuoan パシクル湖畔
aiioooaa パシフィコ横浜
aiiuonauanu パシフィックコンサルタンツ
auon パシュトン
aaa パジャマ
au パス
au パス
auau パスカル
auo パスコ
aua パスタ
auo パスト
auo-o パスポート
auiu パスミス
aua-u パスワーク
aua-o パスワード
auu パズル
auuinu パズルリング
aeo パセット
aei パセリ
aoon パソコン
aoon'u-a- パソコンユーザー
aona パソナ
aonaouoanu パソナソフトバンク
aa-ouuo- パターゴルフ場
aa-neoi パターンメモリ
aaonia パタゴニア
aaaa パタパタ
aaa パタヤ
aai パタリ
aan パタン
ai パチ
aiai パチパチ
aae パチャメ
aoeu パチョレック
aina- パチンカー
ainoo-u パチンコホール
a' パッ
aa- パッカー
ainu パッキング
au パック
auuo パックウッド
ae-i パッケージ
aon パッション
ai パッチ
aia-u パッチワーク
aen パッテン
ao パット
ao パット
ao パッド
aaaa パッパパッパ
au パップ
ae パテ
a'io パティオ
aeno パテント
ae パデ
aeenai パデ展開
aoa- パトカー
aou パトス
aoioo パトリオット
aoon パトロン
aou パドル
anauueuaa パナクシュベツ川
anaoniu パナソニック
anao-uia パナホーム滋賀
anao-uouiu パナホーム北陸
anaa パナマ
anaao- パナマ帽
anio パニコ
aniuouou- パニック・コスモ２
anii パニッチ
aneiuo パネリスト
aneu パネル
anoaa パノラマ
aao'i パバロッティ
aa パパ
aaia パパイア
aaia パパイヤ
aiion パビリオン
ai-eian パピー製販
aiuu パピルス
au パフ
ae パフェ
ao-anu パフォーマンス
au パブ
auiu パブリック
auou パブロフ
auanu-inia パプアニューギニア
ai-u パミール
aao パラオ
aaoo-aou パラオ共和国
aauai パラグアイ
aauau パラグラフ
aau-o パラシュート
aau-u パラジウム
aau パラス
aaou パラソル
aaaiu パラダイス
aaion パラチオン
aaiuu パラチフス
aaouu パラドックス
aaaa パラパラ
aaion パラビオン
aain パラフィン
aaue-u パラフレーズ
aaoaanena パラボラアンテナ
aaauno パラマウント
aaonoa パラモノワ
aaaia- パラライザー
aaeuo-u パラレルポール
aaan パラワン
ai パリ
ai-u パリーグ
aii-u パリキール
aiu パリク
aiu パリス
ai' パリッ
ai'i パリティ
ai'iio パリティビット
aiai パリパリ
au パル
auo パルコ
auoaai- パルコギャラリー
auu パルス
auueu パルス列
auau パルタック
auenonaa パルテノン多摩
aunaian パルナシアン
auneiu パルネビク
auu パルプ
auuo-nio- パルプ町二条
auia パルミラ
aue パルメ
ae パレ
ae-o パレード
aeu パレス
aeuoeu パレスホテル
aeo パレット
aeuo パレルモ
aenan パレンバン
aoi パロディ
aoi- パロディー
aoa パロマ
aoauunaiaa パロマウツナイ川
aa- パワー
aa-aun パワーダウン
aauu パワフル
an パン
annoi パンの木
anainan パンガシナン
anin パンキン
anu パンク
aneuauaa パンケウシャップ川
aneoonaiaa パンケ幌内川
ana- パンサー
ani- パンジー
anau パンジャブ
anuou パンスコフ
ane パンセ
anauau パンタグラフ
anaon パンタロン
ana パンダ
ani パンチ
anio-u パンチボール
ana パンチャ
anu パンツ
an'i パンティ
an'i- パンティー
ane パンデ
anoaiu パントマイム
anoa パンドラ
annau パンナム
annoi パンノキ
anan パンパン
anu パンフ
anueo パンフレット
anuin パンプキン
anuu パンプス
aneuaa パンベツ山
anunou パンムンジョム
an'a パンヤ
anane パン種
an'ai パン焼き
anii パン生地
ano パン粉
i-oia ヒーゴ島
i-o- ヒーロー
iainu ヒアリング
i-ai ヒイラギ
iuo ヒウオ
ie ヒエ
ieaui- ヒエラルキー
io-i ヒオウギ
iaenoaua ヒカゲノカズラ
iai ヒカリ
iaio-o- ヒカリ興業
iai ヒガイ
iaiau ヒガシマル
iaiauo-u ヒガシマル醤油
iaa ヒガラ
ianaua ヒガンザクラ
ianana ヒガンバナ
ii ヒキ
iiaeu ヒキガエル
iinu ヒギンズ
iuioi ヒクイドリ
iue ヒクベ
iui ヒグチ
iua ヒグマ
iuai ヒグラシ
ie ヒゲ
ieenin ヒゲペンギン
io-i ヒコーキ
ioi ヒゴイ
ia ヒサ
iai ヒサイ
iae ヒサエ
iao ヒサコ
iao ヒサゴ
iaonua ヒサゴ沼
iano ヒサノ
iao ヒサヨ
iae ヒサヱ
iao ヒサ子
ia ヒザ
ii ヒシ
iiaaon ヒシアマゾン
iinei ヒシンケイ
ii ヒジ
iii ヒジキ
iiia ヒジリ田
iu ヒス
iui ヒスイ
iuain ヒスタミン
iuoi- ヒストリー
iuaniu ヒスパニック
iuoa ヒズボラ
ioeuai ヒセロフ崎
iene ヒゼン瀬
ioio ヒソヒソ
iai ヒタキ
iaia ヒタヒタ
ia ヒダ
iiaiu ヒッチハイク
io ヒット
ioa- ヒットラー
iu ヒップ
iui ヒツジ
iuiua ヒツジグサ
ie ヒデ
ieo ヒデコ
ieno ヒデノ
ieo ヒデ子
ieae ヒデ碆
io ヒト
ioe ヒトデ
ioa- ヒトラー
ioiiua ヒトリシズカ
ioa ヒドラ
ina ヒナ
ina ヒナ
inaiaa ヒナイ川
inaiu ヒナギク
inaei ヒナゲシ
inao ヒナ子
ineu ヒネる
ino ヒノ
inoi ヒノキ
inouu ヒノックス
inoau ヒノマル
ia ヒバ
ianooi ヒバノ森
iai ヒバリ
ii ヒヒ
iii ヒヒヒ
ii ヒビ
iui ヒフミ
ioonei- ヒポコンデリー
iaaa ヒマラヤ
iaaaui ヒマラヤ杉
iaai ヒマワリ
ieoau ヒメコマツ
ieau ヒメマス
ieauae ヒメマツタケ
ieui ヒメユリ
io ヒモ
auiuo- ヒャクジツコウ
auniio- ヒャクニチソウ
iainu ヒヤシンス
iainu ヒヤリング
iaaa ヒヤ潟
u- ヒュー
u-on ヒューロン
ue ヒュッテ
uuuu ヒュルヒュル
unu ヒュンジュ
iu ヒユ
o-oi ヒョー越
o-an ヒョウタン
ioo ヒヨコ
iooi ヒヨドリ
iai ヒラキ
iauo ヒラグモ
iaaa ヒラサワ
iaa ヒラタ
iaauo ヒラタグモ
ianoeui-o ヒラノテクシード
iaia ヒラヒラ
iao- ヒラボウ
iae ヒラメ
iai- ヒラリー
iaaa ヒラ碆
iiii ヒリヒリ
iu ヒル
iuao ヒルガオ
iuu ヒルズ
iuon ヒルトン
iueuo ヒルベルト
iuan ヒルマン
iueaa ヒルメ山
ie ヒレ
io ヒロ
io ヒロ
ioiuu ヒロイズム
ioin ヒロイン
ioe ヒロエ
ioei ヒロケイ
ioo ヒロコ
ioi ヒロシ
ioeeni ヒロセ電機
ioa ヒロタ
ioeuu ヒロテックス
ioo- ヒロボー
ioon ヒロポン
ioi ヒロミ
ioiu ヒロミツ
ioo ヒロ子
ia ヒワ
iniu ヒンギス
inu- ヒンズー
inu-o- ヒンズー教
ino ヒント
inouan ヒンドスタン
inaa ヒン浜
inainoana ヒン岬ノ鼻
io ヒ素
i-u-i- ビー・ユー・ジー
i-aa ビー玉
iaua ビアフラ
iao-u ビアホール
iaeuoan ビアレストラン
ienan ビエンチャン
ienna-e ビエンナーレ
ioeuineiau ビオフェルミン製薬
ioa ビオラ
ioa ビオラ
ioni ビオンディ
iini ビキニ
iini ビキニ
iua- ビクター
iuou ビクトル
iuiu ビクビク
ieneuno ビケンテクノ
io- ビゴー
iau ビサウ
iaoe ビサゴ瀬
ia ビザ
ianin ビザンチン
ii- ビシー
iaoe ビシャゴ瀬
iaoana ビシャゴ鼻
iueu ビシュケク
iunu ビシュヌ
iou ビショップ
ii- ビジー
ii-anu ビジージャンプ
iineu ビジネス
iineuaiu ビジネスライク
iuau ビジュアル
ioaua ビジョザクラ
ion ビジョン
iu ビス
iue- ビスケー
iuon'i ビスコンティ
iua ビスタ
iua-u ビスマーク
iuauu ビスマルク
ia- ビター
iaanune ビタタヌンケ
iain ビタミン
iain'i- ビタミンＥ
iuao- ビックアロー
iui ビックリ
iu ビッグ
iuouueiuuo-uuaa ビッグボックス西武スポーツプラザ
iii ビッシリ
io ビット
ioeu ビット列
ieo ビデオ
ieoenau ビデオレンタル
ioe ビトエ
inaa ビナヤ
inan ビナン
inanaua ビナンカズラ
ini-u ビニール
ini-ui-o ビニールシート
iniuu ビニックス
iniue-uo-o- ビニフレーム工業
inion ビニロン
iai ビハチ
iai-o-oauauo ビバリーコート油壺
iai-iuu ビバリーヒルズ
iiu ビビる
iia-nio-no ビビアーニ大野
iian ビビアン
iio ビビッド
iina ビビンバ
iina ビビンパ
iuei ビフテキ
iuouanauu ビブロス・アンダルス
auan ビャクダン
iaau ビヤだる
iaaii ビヤガイチ
ianoiai ビヤノ岬
iao-u ビヤホール
ianiuanae ビヤンチク離
iaau ビヤ樽
u-au ビューカム
u-'i- ビューティー
u' ビュッ
ue ビュッフェ
ouuan ビョルクマン
oun ビョルン
io-nouai ビヨーノツ崎
io-anai ビヨウヤナギ
ionu ビヨンズ
ia ビラ
ii ビリ
ii- ビリー
iien ビリケン
iinuu ビリニュス
iiii ビリビリ
iia-o ビリヤード
iinu ビリング
iu ビル
iu ビル
iuinu ビルディング
iuo ビルト
iua ビルマ
iuenenanu ビルメンテナンス
ie ビレ
io-o ビロード
io-an ビロウ湾
ioia ビロ岩
ia ビワ
iaaaie ビワハヤヒデ
iaui ビワ首
in ビン
in ビン
inaoi ビンザ森
ineno ビンセント
ininu ビンディング
ino ビント
innaa ビンナガ
innoai ビンノ岬
inin ビンビン
ino-u ビンロウジュ
inia ビン島
i-eu ピー・エス
i-an ピーマン
ia-u ピアーズ
iau ピアス
iauou ピアストル
ianiuo ピアニスト
iano ピアノ
iano ピアノ
iau ピアフ
iuenaiaa ピウケナイ沢
iuae ピウ岳
ie-u ピエール
ieone ピエモンテ
ieuu ピエルス
ieo ピエロ
ioi'i ピオシティ
ia ピカ
iao ピカソ
iaia ピカピカ
ii-au ピギイバック
iueu ピクセル
iua ピクチャ
iuaeeeno ピクチャエレメント
iuniu ピクニック
iuu ピクル
iuuu ピクルス
iuon ピグモン
ie ピケ
ieo ピケット
io ピコ
io ピコ
io ピコ
ioi ピコイ
ioo ピコット
ioio ピコピコ
iououau ピコプログラム
ioi-no ピコリーノ
ia ピサ
ia ピザ
iiainaiaa ピシカチナイ山
iai ピシャリ
iaa ピジャマ
ion ピジョン
iuou ピスツォフ
iuoninu ピストンリング
ienaiaa ピセナイ山
ienaiaaaa ピセナイ沢川
iaoau ピタゴラス
ia' ピタッ
iai ピタリ
iia-o ピチカート
iia-oaiu ピチカート・ファイヴ
ii' ピチッ
iiii ピチピチ
i' ピッ
iaia ピッカピカ
iu ピック
iuau ピックアップ
iuuan ピッグス湾
ieu ピッケル
ioo ピッコロ
iiian ピッシリ山
iai ピッタリ
ii ピッチ
ia- ピッチャー
iinu ピッチング
iua-u ピッツバーグ
io ピット
iuo-o- ピップトウキョウ
inauo ピナツボ
iina ピビンバ
iina ピビンパ
ieo ピペット
u-a ピューマ
u-ian ピューリタン
ua ピュア
uia-o- ピュリツァー賞
onon ピョンピョン
on'an ピョンヤン
ia- ピラー
iaunnaiaa ピラウンナイ川
iaueaa ピラシュケ川
iaoiaa ピラトミ山
iania ピラニア
iau ピラフ
iaio ピラミッド
iaioeuu ピラミッドＸ
iioo ピリオド
iianuui ピリカヌプリ
iiaeuaa ピリカベツ川
iiaian ピリガイ山
ii' ピリッ
iiii ピリピリ
iieuae ピリベツ岳
iinei ピリン系
iu ピル
iene- ピレネー
io ピロ
in ピン
in ピン
ino ピンと
in'au ピンアップ
ina-on ピンカートン
inu ピンク
inuio ピンク色
ineo ピンセット
ini ピンチ
ino ピント
inneii ピンネシリ
inin ピンピン
inea ピンペア
ino-o ピンボード
inon ピンポン
inau ピン札
u- フー
u-ie フーリエ
a-uo ファースト
a-naa ファーンバラ
aaeaa ファアレアバ
aia ファイア
aia- ファイアー
aiau ファイサル
aia- ファイザー
aia-eiau ファイザー製薬
aia- ファイター
aiu ファイツ
aio ファイト
ainau ファイナル
ainanu ファイナンス
aia ファイバ
aia- ファイバー
aiu ファイブ
aiinu ファイリング
aiu ファイル
aiuaiu ファイルサイズ
ainueio ファインクレジット
aineaiuuena- ファインセラミックスセンター
aina ファインダ
aina- ファインダー
ainue- ファインプレー
auu ファウル
aune-on ファウンデーション
auiii ファクシミリ
auu ファクス
aua ファクタ
auoi ファクトリ
aoo ファゴット
aa-aa- ファザーファッカー
aiuo ファシスト
aiuu ファシズム
aii'i ファシリティ
aiiei ファシリテイ
ai- ファジー
auoeio ファストエイド
auou-o ファストフード
auna- ファスナー
auninuniu-ii ファスニング２１
aaa ファタハ
auu ファックス
ao ファッショ
aonua ファッション須賀
anau ファナック
ana'iu ファナティック
aao ファハド
auiaoaa ファブリカトヤマ
ai-u ファミール
aion ファミコン
aii ファミリ
aiia ファミリア
aae- ファラデー
au ファル
au-u ファルーク
auan ファルカン
auoaioiueuu ファルコバイオシステムズ
auaiaauon ファルマシア・アップジョン
an ファン
an'auo ファンアフト
ani- ファンキー
ani-au ファンキー・ジャム
anu ファンク
