aaia かゞみや
oieu こじれる
oinai こじんまり
oiaeu こじ開ける
ou こす
oui こすい
oui こすぎ
ouaai こすっからい
ouaai こすっ辛い
ouu こする
oueu こすれる
oue こずえ
oue こず枝
oeoe こせこせ
oeuu こせつく
oeu こせる
oeiai こぜり合い
ooioou こそぎ落とす
ooeu こそげる
oooo こそこそ
ooaui こそばゆい
oooo こそ泥
oo- こぞう
ooe こぞって
oou こぞる
oaeu こたえる
oau こたつ
oaai こだかい
oaa こだま
oaa こだま
oaai こだわり
oaau こだわる
oioi こちこち
oiai こちたい
oooo こちょこちょ
oia こちら
oinai こぢんまり
oi こっき
oui こっくり
oeia こっけいさ
oou こっこく
ooi こっそり
oi こっち
oei こってり
oo- こっとう
ooauae こっと丸礁
oioi こっぴどい
oioi こっ酷い
ouen こつえん
ouou こつこつ
oueno こつぜんと
ouneno こつねんと
oueno こつ然と
ouai こづかい
ouu こづく
ouaniui こづらにくい
oeoe こてこて
oeaiai こてはし台
oenoen こてんこてん
oenanni こてんぱんに
oo こと
oo こと
ooaaaii ことあたらしい
ooei ことえり
ooau ことかく
ooieu こときれる
oooou ことごとく
ooooii ことごとしい
ooaa ことさら
ooi ことし
ooaiu ことたりる
ooau ことたる
oouau ことづかる
ooueu ことづける
oonaaeui ことなかれ主義
ooni ことに
ooa ことば
ooui ことぶき
ooou ことほぐ
ooi ことみ
ooonae ことも無げ
oooeu ことよせる
ooaa ことわざ
ooaeu ことわれる
ooo こと子
ooieu こと切れる
ooaiu こと足りる
ooau こと足る
ooo こども
oooo-in こども病院
onaia こないだ
onaona こなごな
onai こなし
onaeu こなせる
onaeu こなれる
onaiuu こなミルク
oniuaii こにくらしい
onuaae こぬか雨
oneaeu こねかえす
oneo こねこ
oneu こねる
oneaeu こね返す
ono この
onooo このごろ
onooo このほど
onoaii このましい
onooii このもしい
onoo-ni このように
onone このんで
onoaia この間
onoan この間
onooo この頃
onoai この際
onouenai この上ない
onoo この世
onoeu この節
onoai この先
onoae この前
onooo この程
onoai この度
onoui この内
onoen この辺
onoaa この方
oae こはぜ
oau こはる
oaa こばか
oau こばむ
oaeu こばめる
oiiuu こびりつく
oiu こびる
ouai こぶかい
oui こぶし
ouiai こぶし台
oui こぶり
ouei こぶ平
oou こぼす
ooeu こぼせる
oou こぼつ
oone こぼね
ooe こぼれ
ooeanai こぼれ話
oa こま
oaa こまか
oaaii こまかしい
oaoa こまごま
oaoaii こまごましい
oaaueu こましゃくれる
oai こまち
oauanoao- こまつ看護学校
oaoi こまどり
oanuu こまぬく
oaneu こまねく
oae こまめ
oaaa こまやか
oaiiu こまりきる
oau こまる
oaai こまわり
oainu こま犬
oiau こみあう
oiaeu こみあげる
oiiu こみいる
oiaeu こみ上げる
ou こむ
ouuaii こむずかしい
ouaaei こむら返り
oe こめ
oeai こめかみ
oeuiui こめくい虫
oeuiui こめつき虫
oeu こめる
oeoi こめ織
ooaana こもが鼻
oooo こもごも
ooou こもどす
oou こもる
ooeu こもれる
ooaa こも原
ooii こも石
oaaaii こやかましい
oau こやす
oaa こやま
oui こゆき
oo こよ
oonai こよない
ooi こよみ
oa こら
oa- こらぁ
oaeu こらえる
oaeo- こらえ性
oaieu こらしめる
oau こらす
oiaaau こりかたまる
oioi こりこり
oa こりゃ
oa- こりゃー
oiu こりる
oio- こり性
ou こる
oe これ
oeaa これから
oeoe これこれ
oeii これしき
oeo これぞ
oeae これだけ
oeoo これほど
oeae これまで
oeioai これみよがし
oea これら
oeano これらの
oo ころ
oo ころ
ooau ころがす
ooeu ころげる
oooo ころころ
ooionu ころし文句
ooeu ころせる
ooo ころっと
ooau ころばす
ooeu ころべる
ooi ころり
ooi ころり
oai こわい
oaau こわがる
oau こわす
oaeu こわせる
oaau こわばる
oaoe こわもて
oaeu こわれる
oaeono こわれ物
oaanan こわ談判
on こん
onaaau こんがらかる
onai こんがり
onuaau こんぐらかる
onono こんこんと
onin こんしん
oniu こんじる
onuu こんずる
oniuo- こんちくしょう
onon こんとん
ono こんど
onna こんな
onnau-ni こんなふうに
onniia こんにちは
onniia こんにちわ
onnau こんにゃく
onnauo こんにゃく粉
onana こんばんは
onana こんばんわ
onai こんぱい
onu こんぶ
oneio- こんぺいとう
onoi こんもり
oninai こんりんざい
onin こん身
onui こん睡
onen こん然
onen'iai こん然一体
ono こん度
ono- こん包
ono- こん棒
oau こギャル
oaneu こ関節
ouuaii こ難しい
oi ごい
o-o-au ごうごうたる
o-on ごう問
oien'o- ごきげんよう
oiui ごきぶり
ou ごく
ouou ごくごく
ooi ごこち
ooo ごころ
oau ござる
oioi ごしごし
ouu ごする
ooo ごそっと
oae ごたえ
oaoa ごたごた
oauu ごたつく
oaae ごたまぜ
oio- ごちそう
oio-aa ごちそうさま
oaoa ごちゃごちゃ
oooo ごちょごちょ
oo ごっこ
ooi ごっそり
oaaeu ごったがえす
oaaeu ごった返す
oa ごっちゃ
oan ごっつぁん
oui ごつい
ouou ごつごつ
oeuu ごてつく
oeu ごてる
oeou ごて得
oo ごと
oo ごと
oneu ごねる
oneou ごね得
oan ごはん
oo- ごぼう
oa ごま
oaai ごまかし
oaaeu ごまかせる
oanoai ごまのはい
oaio ごま塩
oaoo- ごま書房
oaaua ごま油
oi ごみ
oiue ごみ捨て
oioi ごみ取り
oiao ごみ箱
oiae ごみ溜
oiaai ごみ浚い
oen ごめん
oennaai ごめんなさい
oan ごらん
oan ごらん
oioi ごりごり
oioi ごり押し
oo ごろ
oo ごろ
ooooae ごろごろ岳
ooa ごろた
oouu ごろつく
ooio ごろりと
oone ごろ寝
oaoa ごわごわ
oauu ごわする
oien ご機嫌
ouo- ご苦労
ouo-aa ご苦労さま
ooneu ご懇切
oane ご三家
oiei ご時世
ou-o-aa ご愁傷さま
oeiai ご盛大
ooni ご存じ
ooni ご存知
oaun ご多分
oao- ご多忙
oauen ご託宣
oio- ご馳走
ouo-ui ご都合主義
onanuui ご難続き
onen ご念
oaan ご破算
oan ご飯
ouo- ご不浄
oao ご法度
ouaa ご無沙汰
oen ご免
oeno- ご面相
oo- ご用
oo-ii ご用聞き
oaio- ご来光
oan ご覧
oan ご覧
oiau ご利益
oo-nin ご両人
a- カー
a-' カアーッ
ai カイ
ai-u カイープ
aiinauoi-u カイインダストリーズ
aiaa カイガラ
aiaaui カイガラムシ
aiei カイケイ
aien カイゲン
aio カイコ
aion カイコン
aiu- カイジュウ
aio- カイジョー
aieuie カイゼルひげ
aieuie カイゼル髭
aio- カイソウ
aiau カイタック
aiauina-naonau カイタックインターナショナル
aiuui カイツブリ
aiuui カイツムリ
aio カイト
aioaauo-o- カイト化学工業
aio- カイドウ
ainan カイナン
ainino- カイニンソウ
ainou カイノス
aia カイバ
aiau カイバル
aio- カイヒョウ
aien カイメン
aieno-uu カイメンドウブツ
aioiana カイモチ鼻
aii カイリ
aio カイロ
aioai カイロ大
aiae カイワレ
au カウ
auai カウアイ
aueu カウエル
auoana カウソ鼻
auau カウパック
auo-i カウボーイ
auo-iu カウボーイズ
aunea- カウンセラー
auneinu カウンセリング
auna カウンタ
aunoaun カウントダウン
aeu カエる
aee カエデ
aeu カエル
ao カオ
aou カオス
aoi カオリ
aou カオル
aao カカオ
aan カカン
aaaiaa カガマシ山
ai カキ
aiui カキウチ
aiuaa カキツバタ
aia カキ田
ai カギ
aioa カギオカ
aioo カギモト
au カク
au カク
aueu カクテル
aei カケイ
aeu カケス
aen カケン
ae カゲ
aei カゲリ
aeo- カゲロウ
ao カコ
ao- カコウ
ao カゴ
aoi カゴミ
aoe カゴメ
aa カサ
aaaa カサカサ
aao カサゴ
aaai カササギ
aauana カサブランカ
aauana カサブランカ
aaai カサ崎
aae カサ瀬
aani カザニ
aau カザフ
aauuan カザフスタン
aauu カザルス
ai カシ
aiau カシアス
aio カシオ
aioenio-o- カシオ電子工業
aiaiaa カシガリ山
aioi カシコい
aioi カシドリ
ainooia カシノコ島
aia カシマ
aiia カシミヤ
au- カシュウ
aia カシラ
aia カシワ
ai カジ
aioi カジとり
aia カジカ
aiu カジク
aino カジノ
ainoi カジノキ
aie カジメ
auau カジュアル
auauuea カジュアルウエア
ao カジョ
au カス
aui カスイ
aue-o カスケード
aua-o カスタード
auoo カストロ
auiai カスピ海
aueae カスベ岳
aui カスミ
au カズ
aui カズイ
aue カズエ
auenoan'aa カズエノ壇山
auo カズコ
auaaie-n カズサハリケーン
auaia カズラ島
auaia カズラ島
aue カズヱ
auo カズ子
aei カセイ
aeio-a カセイソーダ
aeo カセット
aeoeoi カセットメモリ
ae カゼ
aein カゼイン
aeua カゼクサ
aeiiua カゼシリグサ
aoiu カソリック
aa-u カタール
aaaa カタカタ
aauio カタクリ粉
aauooi- カタストロフィー
aauui カタツムリ
aaai カタバミ
aaauo カタパルト
aauu カタブツ
aain カタリン
aaouuoi-a カタログプロシージャ
aan'io カタンいと
aan'io カタン糸
aainoana カダチノ鼻
aai カダフィ
aau カダル
aiai カチカチ
aiaiaa カチカチ山
au- カチュー
au-a カチューシャ
ao- カチョ?
ain カチン
ainoin カチンコチン
a' カッ
aa カッカ
aaa' カッカッカッ
ao カッコ
ao- カッコウ
aii カッシミ
ao- カッソウ
aa- カッター
aaenoai カッタテノ滝
ao カット
aoeo カットセット
aa カッパ
aaeien カッパえびせん
au カップ
auu カップル
ao カッ歩
au カツ
au カツ
aui カツイ
aue カツエ
auo カツオ
auoui カツオ節
auiaaaa カツクイ沢山
auo カツコ
auenoai カツセノ崎
auen カツデン
auneai カツネ崎
aui カツミ
auo カツヨ
auo-u カツヨウジュ
aua カツラ
aueu カツレツ
aue カツヱ
auo カツ子
au カヅ
aue カヅエ
auo カヅコ
auo カヅ子
aeoi カテゴリ
aeoi- カテゴリー
aeuu カテックス
aena カテナ
aeo カデット
aue カデュセ
aueo- カデュセ網
ao-enianai カトーデンキ販売
aoanu カトマンズ
aoai- カトラリー
aoea カトレヤ
aono カトンボ
ao カド
aoaanoeuu カドカワノベルス
aoi-u カドリール
aoan カド番
ana カナ
ana カナ
anaana カナカナ
anaan カナカン
anaaia カナガシラ
anauoia カナクソ岩
anaai カナサシ
anaa カナダ
anaaou カナダドル
anau カナック
anae カナッペ
anauieno-o- カナツ技建工業
anaen カナデン
anaeana カナデ鼻
anaun カナブン
anaei カナヘビ
anae カナメ
anaoo カナモト
anaia カナリア
anaeeni カナレ電気
anaeoo- カナヱ塗料
anan カナン
anaan カナ漢
anaai カナ書き
ani カニ
ani-ia カニーヒア
anieaieuoe-u カニエダイレクト・メール
anianae カニカン岳
aniuiau カニクイザル
aninuau カニングハム
aniia カニ岩
anu- カヌー
ane カネ
ane カネ
aneoeuaa カネオペツ川
aneaon カネカロン
aneouo- カネコ種苗
aneue カネスエ
aneo- カネソウ
aneaai カネタタキ
aneaaao- カネタ馬場長
anea カネダ
aneai カネダイ
aneuo-i カネツ商事
aneoo カネトモ
aneauouin カネハツ食品
aneo- カネボウ
aneo-auin カネボウ薬品
aneiuo- カネミ油症
aneo カネヨ
aneano-e カネラン峠
aneo カネ子
ano カノ
ano-uu カノークス
anon カノン
anoia カノ島
aa カバ
aa- カバー
aa-oaano カバードワラント
aaaa カバサワ
aai カバディ
aana カバナ
aanoi カバノキ
aaaouin カバヤ食品
aaiio カバリ磯
aan カバン
ai カヒ
ai カビ
aia カビラ
aion カピトン
ae カフェ
aeoe カフェ・オ・レ
ae- カフェー
aein カフェイン
aeoe カフェオレ
aeeau カフェテラス
aeeia カフェテリア
aeae カフェラテ
aeuniou カフェルニコフ
aue- カフエー
auau カフカス
aui カフジ
auu カフス
auuoan カフスボタン
au カブ
au-u カブース
au-u カブール
auu カブス
auo カブト
auoinai カブト南
aua カブラ
auaaa カブラマッタ
auia カブ島
auo- カブ島
auon カプコン
aueu カプセル
aui-no カプチーノ
auo カプト
auiio カプリチオ
ae カベ
aeia カペイカ
aou カホク
aou カホル
aoa カボチャ
ao-u カポール
ao-u カポール
aou カポック
aa カマ
aaeana カマエ鼻
aaii カマキリ
aaiia カマギ島
aau カマス
aao カマチョ
aaoua カマドウマ
aaoo カマボコ
aai カマリ
aane-u カマンベール
aian カミさん
aiuu カミつく
aiiiui カミキリムシ
aioi カミソリ
aiue カミツレ
aiaeu カミパレス
au カミュ
aia カミラ
aii カミリ
auieuuiauiaa カムイエクウチカウシ山
auioian カムイロキ山
auaa カムチャッカ
auaua カムチャツカ
auau カムバック
auua-u カムフラージュ
aueoeuaa カムメロベツ川
auan カムラン
ae カメ
ae カメ
aei カメイ
aeoinaau'iu カメオインタラクティブ
aeui カメムシ
aeaa カメヤマ
aeo カメヨ
aea カメラ
aeeon カメレオン
aee カメ瀬
ao カモ
aoiuneaa カモイウンベ川
aoie カモイ瀬
aoia カモシカ
aonoai カモノハシ
aoi-u カモミール
aoeoiaa カモメ森山
aoa カモラ
aoiao-i カモ井加工紙
aoiouino-o- カモ井食品工業
aa カヤ
aa カヤ
aanoaia カヤの平
aaui カヤぶき
aauiua カヤツリグサ
aaao-o- カヤバ工業
aaaiaa カヤマチ山
ao カヨ
ao- カヨウ
aoo カヨ子
aa カラ
aa- カラー
aa-o カラード
aaio カラウィット
aaoe カラオケ
aaoeouu カラオケボックス
aaaiia カラカイ島
aaouu カラコルム
aaa カラザ
aai カラシ
aaina カラシナ
aaii カラジッチ
aau カラス
aauui カラスムギ
aaae カラタケ
aaaiana カラタチバナ
aaa カラダ
aai カラチ
aa' カラッ
aao カラッと
aao カラト
aaai カラハリ
aaan カラバン
aauu カラフル
aaau カラマツ
aaeu カラメル
aaa カラヤ
aaan カラヤン
aan カラン
aan カラン
aauo- カラ出張
ai カリ
aieu カリエス
aiaua カリカチュア
aiuau カリキュラム
aiua カリスマ
ai' カリッ
aiu- カリツー
aiau カリパス
aiu カリフ
aiounia カリフォルニア
aiouniaai カリフォルニア大
aiuaa- カリフラワー
aiu カリブ
aiuai カリブ海
aiounu-u カリホルニウム
aianan カリマンタン
aiou カリモフ
ain カリン
aiio- カリ肥料
au-i カルーチ
auuinaiaa カルウシナイ川
auaa カルカッタ
auaa カルカヤ
auai- カルガリー
auai-eauo カルガリー・ヘラルド
aui カルキ
auoniu カルソニック
auoniuounie-on カルソニックコミュニケーション
auao カルタゴ
auan カルダン
auieaan カルチエラタン
aua- カルチャー
auua カルチュア
aue カルテ
aueu カルテル
auenau カルデナス
auea カルデラ
auo カルト
auoan カルト山
auna カルナ
auno- カルノー
aui カルビ
aui- カルビー
auiu カルピス
auio カルピソ
auounia カルフォルニア
auaae カルマタ瀬
aueai カルメ焼き
aua カルラ
auou カルロス
ae- カレー
ae-aiu カレーライス
aei カレイ
aeio カレイド
aei カレシ
aei カレッジ
aeooana カレホコ鼻
aen カレン
aeno カレント
ao-a カローラ
aoin カロチン
aoi- カロリー
aoi-nu カロリーヌ
aai カワイ
aauo カワウソ
aaai カワサキ
aao- カワショウ
aau カワズ
aaei カワセミ
aaa カワタ
aaai カワハギ
aaoi カワホリ
aao- カワボー
aaauaaneniuaei カワマスジャパンテニスカレッジ
aaanai カワヤナギ
aaanaeio カワラナデシコ
aaiaaae カワリハラタケ
aoi カヲリ
aou カヲル
an カン
anan'aa カンカン山
ananei カンカン照り
anau- カンガルー
aniuui カンキツルイ
aniuui カンキツ類
aniu カンギク
anooi カンコドリ
anau カンザス
ana カンシャ
ano カンショ
aniuiaa カンジウシ山
aniuiaa カンジウシ川
anei カンセイ
anei カンセキ
ano- カンゾウ
ana- カンター
anani カンタンシ
ana カンダ
anao-oe-on カンダコーポレーション
aniu カンチク
ano-ne カンツォーネ
anuai カンツバキ
anea カンテラ
anea カンデラ
ano- カントー
anon カントン
ano- カンドウ
anna カンナ
annaai カンナ崎
anninu カンニング
annu カンヌ
annuouaieiaai カンヌ国際映画祭
ana カンバ
anau カンバス
ana カンパ
anan カンパン
ano- カンピョウ
ano- カンピョウ
aniaai カンピラ滝
anaenu カンファレンス
anuu カンフル
anu カンプ
anuo カンプト
ane カンペ
aneo-aniou カンペ共販四国
ano-uau カンボウプラス
anoia カンボジア
anoo カンポット
anooaeu カンポトラベル
ana カンマ
anan カンラン
ano カンロ
aeu カ月
aou カ国
ane カ子
ai カ氏
ai カ寺
ao カ所
ao- カ条
aon カ村
aen カ店
anen カ年
a ガ
a-a-i-i- ガーガーギーギー
a-n ガーン
aia ガイア
aiana ガイアナ
aia-eiu-an ガイガー計数管
aiau ガイダル
aianu ガイダンス
aio- ガイチョウ
aio ガイド
aioain ガイドライン
aui ガウディ
aun ガウン
aeu ガエル
aoeuuu ガオセルブズ
ai ガキ
aia ガギ田
au ガク
auau ガクガク
aeui ガケっぷち
aaaa ガサガサ
aa ガザ
aai ガザミ
aiau ガジマル
auau ガジュマル
au ガス
auiuoiuou-inu ガス・ディストリクト・クーリング
auono ガスコンロ
auanu ガスタンク
aueua-iu ガステックサービス
aua-na- ガスバーナー
auauu ガスマスク
aueni ガスレンジ
auaiaae ガス会社前
auai ガス平
aoin ガソリン
aoinuano ガソリンスタンド
aan ガタン
aaoi ガタ落ち
aauanau ガダルカナル
aauanauaa ガダルカナルタカ
aiai ガチガチ
aaaa ガチャガチャ
ao- ガチョウ
aai ガッカリ
aui ガックリ
au ガッシュ
au ガッツ
auiiau ガッツ石松
ao ガット
aoeieu ガットセイエフ
auau ガツガツ
aoinu-u ガドリニウム
ani ガニ
aa ガバ
aaaa ガバガバ
aai ガバディ
ai- ガビー
aian ガビサン
auiea ガブリエラ
auiea ガブリエラ
ao- ガホウ
aoo ガボット
aon ガボン
aa ガマ
aan ガマン
aiai ガミガミ
aio ガミット
au ガム
auauuia ガムサフルディア
auan ガムラン
ao ガモ
aaona-o ガラ・コンサート
aa-o ガラード
aaaa ガラガラ
aaaaei ガラガラヘビ
aaiao-in ガラシア病院
aauin ガラス瓶
aa' ガラッ
aaaou ガラパゴス
aaeio-e ガラメキ峠
aai ガラリ
aaio ガラリと
aanaa ガラン沢
aao- ガラ島
ai ガリ
au-u ガリウム
aia- ガリバー
aia- ガリバー
aia-u ガリマール
aieo ガリレオ
ain ガリン
aian ガリ版
aien ガリ勉
au ガル
au-i ガルーチ
auia ガルシア
auon ガルソン
auin ガルビン
auu ガルフ
auuuoi-uo- ガルフストリーム４
auueiu ガルブレイス
aueu ガルベス
ae-i ガレージ
aei ガレキ
aeau ガレラス
ao ガロ
aou ガロップ
aonoaa ガロノ沢
aon ガロン
an ガン
anan ガンガン
aneaa ガンケ山
ani- ガンジー
aniu ガンジス
anuanoo-eu ガンズ・アンド・ローゼズ
ana-a ガンダーラ
ana ガンバ
anao-aa ガンバ大阪
ania ガンビア
ani ガンピ
aniai ガンピ岱
ana- ガンマー
anaen ガンマ線
anaio- ガンライコウ
ane ガン瀬
i- キー
i-n キーン
iiui キじるし
iaa キアラ
iai キアリ
ii キイ
iiio キイチゴ
iio キイ子
iu キウ
iui キウイ
ie キエ
ieo キエト
ieu キエフ
ieo キエ子
iai キガリ
iauan キガル山
iu キク
iu キク
iui キクイ
iuio キクイモ
iue キクエ
iuo キクコ
iui キクチ
iuieane キクチメガネ
iuna キクナ
iuno キクノ
iui キクミ
iuo キクヨ
iuae キクラゲ
iue キクヱ
iuo キク子
iunaueiu キグナス石油
ien キケン
io キコ
io- キコウ
ioi キコリ
ion キコン
ioaa キゴ山
ia キサ
iaiu-uo-o- キサイフーズ工業
iao キサゴ
iaae キササゲ
iauo- キサブロー
ii キシ
iii キシイ
iinou キシニョフ
ia キシャ
iao キシャゴ
ioi キショい
ii キジ
iiao キジバト
iu キス
iua キスカ
iua-u キスマーク
iui-oueiuu キスミーコスメチックス
iu キズ
ie キセ
ienon キセノン
ieu キセル
ieo キセ子
io キソ
ion キソン
ia キタ
iaeauu キタエアップル
iaaa キタガワ
iaiune キタキツネ
iaei キタセキ
iaua キタムラ
iauaiai キタムラ機械
iaini キタ新地
ii キチ
ii' キチッ
iin キチン
iin キチン
i' キッ
ia- キッカー
iu キック
iuouinu キックボクシング
io-an キッコーマン
iina- キッシンジャー
iu キッス
ieioueu キッセイコムテック
ieiauino-o- キッセイ薬品工業
iu キッチュ
iin キッチン
iu キッツ
io キット
io キッド
iai キッパリ
iu キップ
iu キツ
iuui キツツキ
iune キツネ
iuin キツリン
iua キヅタ
i'i キティ
i'ian キティちゃん
io キト
io- キトー
iouiaa キトウシ川
ina キナ
inauiiai キナウシ岬
inauunai キナウスナイ
inaaiai キナカイ崎
inaieu キナシ別
ini-ne キニーネ
inu キヌ
inue キヌエ
inua キヌヤ
inuo キヌ子
ineui キネズミ
ineau キネダック
inea キネマ
ineauno-a キネマ旬報社
ino キノ
inoo キノコ
inoia キノシタ
iaa キハダ
ii キビ
iiii キビキビ
iiai キビタキ
iuna キブンバ
iuou キプロス
io- キホウ
ii キミ
ii キミ
iie キミエ
iio キミコ
iino キミノ
iio キミヨ
iie キミヱ
iio キミ子
iu キム
iuaneuai キムアネップ崎
iui キムチ
iua- キムハー
iuou キムホク
iua キムラ
iuauni'i- キムラユニティー
iunauouae キムンタップコップ岳
ieu キメる
ieoaai キメ細かい
iee キメ手
io キモ
ioeoiio- キモッペモシリ島
ioanua キモマ沼
iono-nua キモントウ沼
ionnua キモン沼
a- キャー
a-a- キャーキャー
aain キャサリン
ai- キャシー
ai-naaia キャシー中島
auo キャスコ
auo キャスト
aei キャセイ
aauooi- キャタストロフィー
aaa-o-o- キャタラー工業
a' キャッ
au キャッシュ
aueoi キャッシュメモリ
ai キャッチ
aio-u キャッチボール
aa- キャッチャー
aa-o-o キャッチャーボート
au キャッツ
auiuaunen キャッツキル・マウンテン
au キャップ
ae- キャデー
ai- キャディー
aeau キャデラック
aeau キャデラック
anion キャニオン
anon キャノン
anonanai キャノン販売
aae- キャバレー
aia キャビア
aino-o- キャビン工業
aiau キャピタル
aiou キャピトル
auea キャブレラ
auon キャプション
auen キャプテン
aeu キャベツ
aeuooi- キャメルトロフィー
aaua キャラクタ
aaeu キャラメル
ai- キャリー
ainon キャリントン
aou キャロル
aneu キャンセル
ane- キャンデー
anou キャンドル
anau キャンバス
anau キャンパる
anuaia キャンプファイア
anea キャンベラ
aneu キャンベル
ane-n キャンペーン
ia キヤ
anon キヤノン
anonanai キヤノン販売
u- キュー
u-i キュウリ
uuu' キュキュキュっ
uao- キュラソー
ui- キュリー
ui- キュリー
uu-u キュリウム
uoo キュロット
uooua-o キュロットスカート
iu キユ
u-i- キユーピー
u-i-o-o- キユーピー醸造
o-ei キョーエイ
o-u- キョウリュウ
ouii キョクイチ
oo-ne キョソーネ
oon キョトン
io キヨ
ioi キヨイ
ioe キヨエ
ioo キヨコ
ioi キヨシ
ioio- キヨシロウ
iono キヨノ
ioi キヨミ
ioe キヨヱ
ion キヨン
ioo キヨ子
iao-oe-on キラ．コーポレーション
ia- キラー
ia- キラー
iauea キラウエア
iaoaniai キラコタン岬
iai キラリ
ii キリ
ii キリ
iiii キリキリ
iiiiai キリキリ舞い
iiiiu キリギリス
iio キリコ
iiian キリシタン
iiuoo-inuo- キリスト教民主党
ii' キリッ
iiau キリバス
iiuneiaa キリプネイ川
iianao キリマンジャロ
iin キリン
iiniaei キリンビバレッジ
iuiu キルギス
iuiuan キルギスタン
iuu キルク
iu'inu キルティング
iuo キルト
iua- キルヒャー
ie キレ
ie キレ
iei キレイ
io キロ
io キロ
ioaoi- キロカロリー
iouau キログラム
ioon キロトン
ioaio キロバイト
ioeuu キロヘルツ
ioe-ou キロメートル
ioiou キロリットル
ioo キロロ
ioao キロワット
ioaoi キロワット時
iaa キワタ
iaa キワダ
ie キヱ
ieo キヱ子
in キン
in キン
ina キンカ
inao- キンカ堂
inae キンガ瀬
inin キンキン
ino キンギョ
inu キング
inuo-o- キング醸造
inei キンケイ
ineu キンケル
ino キンコ
inaa キンシャサ
ini- キンジー
inei キンセキ
inena キンセンカ
inae キンバエ
inai- キンバリー
inia キンピラ
ino-unio-u キンポーユニフォーム
inoue キンポウゲ
inouei キンモクセイ
inui キンルイ
ino キン子
inniuan キン肉マン
inui キン類
iiui キ印
ia ギア
ia ギア
ia ギガ
ia ギガ
iaaio ギガバイト
iui ギクリ
ia ギザ
iaia ギザギザ
iiii ギシギシ
iuiu ギスギス
ia- ギター
iaiuo ギタリスト
inanai ギナン崎
inia ギニア
iniaiau ギニアビサウ
ino-u ギニョール
ineuuu ギネスブック
inoiia ギノギ岩
iuo ギフコ
iuo ギフト
iuanoe-u ギブ・アンド・テーク
iuanoeiu ギブアンドテイク
iuu ギブス
iuu ギブス
iuu ギプス
ioi ギボシ
ionu ギボンズ
au ギャグ
aa- ギャザー
au ギャップ
aain ギャバジン
aa ギャラ
aai-ooeo- ギャラリー巴堂
au ギャル
ao ギャロ
aou ギャロップ
anu ギャング
anuu ギャンブル
ia ギヤ
iaan ギヤマン
u-u- ギュウギュウ
u' ギュッ
o-a ギョーザ
o-a ギョウザ
ou- ギョリュウ
oo' ギョロッ
ian ギラン
iiii ギリギリ
iiia ギリシア
iiaoaua ギリシャドラクマ
iu-i- ギルーリー
iua- ギルダー
iuo ギルド
iua-o ギルバート
iua-o ギルバート
iuan ギルマン
iuoi ギルロイ
ioin ギロチン
inau ギンガム
inuii ギングリッチ
inona ギンゴナ
innan ギンナン
inae ギンバエ
ino ギンポ
ino ギン子
u ク
u-o クーコ
u-on クーロン
aueo クァルテット
anu クァンジュ
uaaunu-u クアラルンプール
uan クアン
iu クィック
iuo-o クィックソート
ui-n クイーン
uiu クイズ
uina クイナ
uiaaa クイラ川
uin クイン
uinuano クインズランド
uineo クインテット
ue-o クウェート
ue-oina-u クウェートディナール
euon クェスチョン
eon クェッション
ue-a- クエーカー
ue-u クエール
ueio クエイド
ueuona-u クエスチョンマーク
ueuo クエスト
ueuia クエフ島
o-e-on クォーテーション
o-o クォート
uo-a- クオーター
uo-ai- クオータリー
uoanaiaa クオマナイ川
uoo クオモ
uio-noai クキドウノ崎
uioeo クキド瀬戸
uinoineo-e クキノ峯峠
ui クギ
uia クギヤ
uui クグイ
uo クコ
uaaeo- クサカゲロウ
uaae クサガメ
uaen'ii クサデン石
uaiai クサヒバリ
uai クサビ
uaoe クサボケ
ui クシ
ua クシャ
uaua クシャクシャ
ui クジ
uau クジャク
uauei クジャクセキ
uia クジラ
uu クス
uuo クスコ
uunoi クスノキ
uu クズ
uuneou クズネツォフ
uuneuu クズネツク
uuaaa クズバ山
uuoe クズ米
uoae クソバエ
uoui クソムシ
uauia クタ・スリア
uaua クタクタ
uaee クタベ瀬
uaoia クダコ島
uinai クチナシ
uia クチマ
uannaiaa クチャンナイ川
ui- クッキー
uinu クッキング
uu クック
uuuu クックブック
uon クッション
uaoo クッチャロ湖
ua クッパ
ua- クッパー
uuuneaa クツウンベッ川
uuaui クツワムシ
ueuneuaa クテクンベツ川
unaeu クナエフ
uni クニ
uni クニ
unie クニエ
unio クニオ
uniineo-o- クニミネ工業
unio クニヨ
unio クニ子
unu-oo-e クヌートトーレ
unui クヌギ
uneno クネンボ
uno-uouin クノール食品
ui クビ
uuo- クフ王
uoa クボタ
ua クマ
ua クマ
uaoi クマどり
uaaa クマザサ
uaaa クマタカ
uaneiiae クマネシリ岳
uanoaa クマノ沢
uaai クマバチ
uau クマル
uanai クマンバチ
ui クミ
uiaiaauo-o- クミアイ化学工業
uio クミ子
ue-u クメール
uo クモ
uonou クモの巣
uoau クモザル
uaui クヤウジ
ua クラ
ua-u クラーク
ua-u クラース
uai クラい
uainue-u クライング・ゲーム
uauu クラウス
uaunaia- クラウンライター
uaoiaa クラオイ川
uaiana クラキ鼻
uaua クラクラ
uae クラゲ
uaiau クラシカル
uaue-o クラスメート
uaauieio クラタクリエイト
uaa- クラッカー
uaiu クラッシック
uau クラッシュ
uai クラッチ
uaouui-uau クラトフスキーグラフ
uauuu クラフチュク
